hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
11010001,2020,Exports valor,Total,"1,332,394","1,247,164","1,414,018","2,075,838","1,710,197","1,324,398","1,201,101","1,256,721","1,279,136","1,597,022","1,685,847","1,487,382"
11010001,2020,Exports valor,Estados Unidos de América,"273,446","313,603","384,549","1,092,585","1,093,923","592,911","326,841","442,651","452,095","414,185","668,354","710,925"
11010001,2020,Exports valor,Guatemala (República de),"865,425","745,870","786,198","757,732","482,704","576,524","614,047","618,172","646,413","527,258","787,287","543,350"
11010001,2020,Exports valor,Belice,"95,255","137,867","233,361","157,986","89,448","143,063","184,772","167,010","180,048","631,066","230,127","223,859"
11010001,2020,Exports valor,Cuba (República de),"88,305","17,204",2,0,0,0,0,7,6,42,0,"9,248"
11010001,2020,Exports valor,Reino Unido de la Gran Bretaña e Irlanda d,124,150,220,175,0,0,155,0,134,0,0,0
11010001,2020,Exports valor,Venezuela (República de),0,"32,240",0,"47,967",2,8,"51,494",6,0,111,0,0
11010001,2020,Exports valor,Brasil (República Federativa del),0,0,0,0,0,0,0,100,0,0,0,0
11010001,2020,Exports valor,Canadá,113,230,0,612,0,6,54,0,0,0,48,0
11010001,2020,Exports valor,Costa Rica (República de),"9,726",0,"8,555","18,780","11,966","11,886","23,738","11,477",0,"22,980",0,0
11010001,2020,Exports valor,Jamaica,0,0,0,0,0,0,0,0,0,0,31,0
11010001,2020,Exports valor,Japón,0,0,0,1,0,0,0,0,0,0,0,0
11010001,2020,Exports valor,Panamá (República de),0,0,"1,133",0,348,0,0,0,440,0,0,0
11010001,2020,Exports valor,El Salvador (República de ),0,0,0,0,0,0,0,"17,298",0,"1,380",0,0
11010001,2020,Exports valor,Trinidad y Tobago (República de),0,0,0,0,"31,806",0,0,0,0,0,0,0
11010001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
11010001,2020,Exports volume,Total,"3,124,594","2,958,945","3,592,693","4,586,327","3,530,128","3,080,311","2,852,273","2,998,001","3,079,391","2,737,511","3,908,891","3,339,167"
11010001,2020,Exports volume,Estados Unidos de América,"513,199","548,462","721,774","1,895,325","1,954,245","1,078,743","571,246","777,330","844,213","754,563","1,180,575","1,308,653"
