hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
49011001,2020,Exports valor,Total,"47,503","73,480","87,235","421,608","305,292","36,901","316,217","42,421","35,709","87,494","26,491","183,457"
49011001,2020,Exports valor,Estados Unidos de América,"24,448","63,063","59,974","419,531","247,125","21,837","302,427","28,468","30,684","84,667","14,661","170,339"
49011001,2020,Exports valor,Dinamarca (Reino de),100,60,61,36,10,19,9,100,9,22,2,"6,719"
49011001,2020,Exports valor,Brasil (República Federativa del),190,25,7,5,6,1,97,33,4,206,24,"2,402"
49011001,2020,Exports valor,Hong Kong (Teritorio de ),123,14,6,17,16,1,30,135,32,32,19,"1,178"
49011001,2020,Exports valor,Colombia (República de),3,4,0,4,19,2,3,2,0,3,9,659
49011001,2020,Exports valor,Nicaragua (República de),0,0,1,17,0,69,0,0,0,0,0,455
49011001,2020,Exports valor,Perú (República del),0,0,12,5,0,0,0,1,0,0,3,421
49011001,2020,Exports valor,Alemania (República Federal de),573,96,62,154,"1,385",55,"11,100",86,97,40,255,308
49011001,2020,Exports valor,Costa Rica (República de),0,0,0,0,0,0,0,0,0,0,0,210
49011001,2020,Exports valor,Hungria (República de ),"7,966",0,0,0,0,0,2,0,2,274,"1,552",120
49011001,2020,Exports valor,Reino Unido de la Gran Bretaña e Irlanda d,"5,209",181,46,75,107,50,211,240,107,130,152,107
49011001,2020,Exports valor,Polonia (República Popular de),81,150,7,19,138,0,13,43,4,7,15,96
49011001,2020,Exports valor,Suiza,21,"9,215",36,55,7,4,0,40,20,60,104,66
49011001,2020,Exports valor,Francia,126,50,23,38,64,"14,638",332,53,7,93,"7,825",51
49011001,2020,Exports valor,Nueva Zelandia,0,4,0,2,0,0,7,0,4,0,0,50
49011001,2020,Exports valor,Canadá,44,34,1,66,72,10,37,9,204,6,161,32
49011001,2020,Exports valor,Italia,213,8,62,173,64,37,140,123,9,7,48,31
