hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
66011001,2020,Exports valor,Total,"73,843","127,324","152,882","123,092","94,087","101,716","127,454","92,356","103,387","143,636","51,739","69,734"
66011001,2020,Exports valor,Estados Unidos de América,"73,742","127,006","148,732","122,912","93,868","101,713","127,454","92,346","102,973","142,409","49,494","67,399"
66011001,2020,Exports valor,Cuba (República de),61,233,507,0,0,0,0,0,283,2,407,958
66011001,2020,Exports valor,República Dominicana,0,0,0,180,0,0,0,0,0,0,0,877
66011001,2020,Exports valor,Reino Unido de la Gran Bretaña e Irlanda d,0,0,0,0,0,0,0,0,0,0,0,490
66011001,2020,Exports valor,Venezuela (República de),0,0,0,0,0,3,0,10,0,0,0,10
66011001,2020,Exports valor,Chile(República de ),0,0,0,0,0,0,0,0,50,0,0,0
66011001,2020,Exports valor,"Bélgica, (Reino de)",0,0,245,0,0,0,0,0,0,"1,225","1,225",0
66011001,2020,Exports valor,Costa Rica (República de),0,0,0,0,0,0,0,0,0,0,40,0
66011001,2020,Exports valor,Guatemala (República de),0,4,0,0,0,0,0,0,0,0,310,0
66011001,2020,Exports valor,Honduras (República de),0,0,0,0,0,0,0,0,0,0,65,0
66011001,2020,Exports valor,Nicaragua (República de),0,0,0,0,0,0,0,0,0,0,38,0
66011001,2020,Exports valor,Panamá (República de),0,0,"3,398",0,0,0,0,0,0,0,120,0
66011001,2020,Exports valor,Perú (República del),0,81,0,0,0,0,0,0,81,0,0,0
66011001,2020,Exports valor,El Salvador (República de ),40,0,0,0,219,0,0,0,0,0,40,0
66011001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
66011001,2020,Exports volume,Total,986,"1,594","2,236","1,057","1,302","1,456","2,190",637,920,647,"1,289","1,310"
66011001,2020,Exports volume,Estados Unidos de América,972,"1,557","2,180","1,056",631,"1,454","2,190",633,886,641,542,"1,275"
66011001,2020,Exports volume,Cuba (República de),4,13,13,0,0,0,0,0,2,1,6,30
66011001,2020,Exports volume,República Dominicana,0,0,0,1,0,0,0,0,0,0,0,1
66011001,2020,Exports volume,Reino Unido de la Gran Bretaña e Irlanda d,0,0,0,0,0,0,0,0,0,0,0,2
66011001,2020,Exports volume,Venezuela (República de),0,0,0,0,0,2,0,4,0,0,0,2
66011001,2020,Exports volume,Chile(República de ),0,0,0,0,0,0,0,0,12,0,0,0
66011001,2020,Exports volume,"Bélgica, (Reino de)",0,0,1,0,0,0,0,0,0,5,5,0
66011001,2020,Exports volume,Costa Rica (República de),0,0,0,0,0,0,0,0,0,0,80,0
66011001,2020,Exports volume,Guatemala (República de),0,4,0,0,0,0,0,0,0,0,131,0
66011001,2020,Exports volume,Honduras (República de),0,0,0,0,0,0,0,0,0,0,130,0
66011001,2020,Exports volume,Nicaragua (República de),0,0,0,0,0,0,0,0,0,0,75,0
66011001,2020,Exports volume,Panamá (República de),0,0,42,0,0,0,0,0,0,0,240,0
66011001,2020,Exports volume,Perú (República del),0,20,0,0,0,0,0,0,20,0,0,0
66011001,2020,Exports volume,El Salvador (República de ),10,0,0,0,671,0,0,0,0,0,80,0
66011001,2020,Exports volume,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
66011001,2020,Imports valor,Total,"1,783,412","2,039,684","480,851","736,020","353,295","289,911","122,832","165,085","231,308","412,522","419,891","1,321,746"
66011001,2020,Imports valor,China (República Popular de),"1,702,780","1,454,212","239,545","464,848","325,203","251,448","88,711","92,423","198,238","274,011","297,274","802,163"
66011001,2020,Imports valor,Estados Unidos de América,"74,181","560,805","175,224","134,060","27,112","35,335","33,389","64,732","22,523","105,183","84,864","511,343"
66011001,2020,Imports valor,"Bélgica, (Reino de)",818,0,0,"1,445",0,"2,407",0,874,600,0,"7,941","5,641"
66011001,2020,Imports valor,Vietnam (República Socialista de),0,0,0,0,0,41,0,0,"1,295",0,0,"1,698"
66011001,2020,Imports valor,Indonesia (República de),592,0,0,"1,625",0,0,0,166,0,0,0,705
66011001,2020,Imports valor,India (República de la),0,249,0,0,0,366,387,"2,569",0,0,532,196
66011001,2020,Imports valor,Italia,"2,373","9,630","9,074",796,788,0,0,"4,297",0,"4,088","23,394",0
66011001,2020,Imports valor,Corea del Sur,0,90,0,0,0,0,0,0,0,0,0,0
66011001,2020,Imports valor,Malasia  (Federación de),0,0,0,0,0,120,0,0,0,0,0,0
66011001,2020,Imports valor,Nicaragua (República de),0,0,0,0,0,0,0,0,"1,144",0,"2,778",0
66011001,2020,Imports valor,Portugal,0,0,0,0,0,0,0,0,"7,508","29,240",0,0
66011001,2020,Imports valor,Tailandia (Reino de),310,0,0,0,0,0,0,0,0,0,0,0
66011001,2020,Imports valor,Turquia (República de),"2,350",0,0,0,0,0,0,0,0,0,0,0
66011001,2020,Imports valor,Bangladesh (República Popular de),8,17,0,0,0,0,0,0,0,0,42,0
66011001,2020,Imports valor,Brasil (República Federativa del),0,0,"3,246","7,058",0,0,0,0,0,0,0,0
66011001,2020,Imports valor,Alemania (República Federal de),0,107,0,0,0,0,0,0,0,0,"3,066",0
66011001,2020,Imports valor,Dinamarca (Reino de),0,0,0,867,0,0,0,0,0,0,0,0
66011001,2020,Imports valor,España (Reino de),0,"11,330","53,762","125,321",0,194,0,24,0,0,0,0
66011001,2020,Imports valor,Hong Kong (Teritorio de ),0,"3,244",0,0,192,0,345,0,0,0,0,0
66011001,2020,Imports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
66011001,2020,Imports volume,Total,"229,594","143,118","30,806","150,758","34,057","13,610","34,122","13,201","24,498","42,898","47,545","37,541"
