hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
04011001,2020,Exports valor,Total,"27,324","39,996","17,532","71,952","13,964","15,174","774,369","274,851","862,595","895,805","630,334","419,566"
04011001,2020,Exports valor,Estados Unidos de América,0,0,0,826,417,0,"753,614","250,214","812,812","870,098","586,128","388,526"
04011001,2020,Exports valor,Guatemala (República de),"27,324","38,808","17,127","42,253","12,781","14,430","20,390","23,522","48,627","24,931","36,875","30,628"
04011001,2020,Exports valor,Belice,0,"1,188",405,"28,873",766,744,365,"1,115","1,156",776,"1,223",412
04011001,2020,Exports valor,Cuba (República de),0,0,0,0,0,0,0,0,0,0,"6,108",0
04011001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
04011001,2020,Exports volume,Total,"62,100","90,900","39,600","162,540","34,020","36,900","729,386","368,280","837,499","922,995","549,370","430,482"
04011001,2020,Exports volume,Estados Unidos de América,0,0,0,"1,440",720,0,"678,086","308,880","721,399","862,695","460,162","362,982"
04011001,2020,Exports volume,Guatemala (República de),"62,100","88,200","38,700","95,400","31,500","35,100","50,400","56,700","113,400","58,500","81,900","66,600"
04011001,2020,Exports volume,Belice,0,"2,700",900,"65,700","1,800","1,800",900,"2,700","2,700","1,800","2,700",900
04011001,2020,Exports volume,Cuba (República de),0,0,0,0,0,0,0,0,0,0,"4,608",0
