hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
42010001,2020,Exports valor,Total,"855,203","1,155,028","1,404,106","868,972","887,275","1,434,440","1,849,951","1,482,454","1,953,130","1,746,043","1,663,145","1,899,788"
42010001,2020,Exports valor,Estados Unidos de América,"853,270","1,151,871","1,374,378","868,035","872,831","1,423,618","1,795,170","1,478,677","1,939,729","1,704,688","1,652,744","1,885,721"
42010001,2020,Exports valor,El Salvador (República de ),789,0,282,0,30,"3,784","1,777",291,747,"7,451",945,"10,923"
42010001,2020,Exports valor,Cuba (República de),0,70,24,0,0,0,0,0,19,846,206,973
42010001,2020,Exports valor,China (República Popular de),0,"1,713",0,0,"2,203",0,"8,469",0,0,0,0,898
42010001,2020,Exports valor,Panamá (República de),371,260,279,0,304,659,696,0,948,"1,356",390,682
42010001,2020,Exports valor,Costa Rica (República de),0,249,0,187,0,218,360,140,120,"5,276",171,193
42010001,2020,Exports valor,Francia,0,0,0,0,0,0,"21,559","2,993","9,701","5,068",0,175
42010001,2020,Exports valor,Canadá,0,182,0,0,0,0,0,0,0,2,0,108
42010001,2020,Exports valor,Honduras (República de),205,76,55,0,33,188,69,0,167,147,169,87
42010001,2020,Exports valor,Nicaragua (República de),88,27,53,27,48,37,29,29,46,19,0,13
42010001,2020,Exports valor,Venezuela (República de),0,0,2,6,0,"4,280",2,0,15,5,17,8
42010001,2020,Exports valor,Paraguay (República del),0,0,0,0,0,0,0,0,20,0,0,7
42010001,2020,Exports valor,Perú (República del),0,0,0,148,28,0,0,0,0,0,0,0
42010001,2020,Exports valor,Jamaica,0,0,0,0,0,0,0,0,0,0,87,0
42010001,2020,Exports valor,Libia,31,0,0,0,0,0,0,0,0,0,0,0
42010001,2020,Exports valor,Marruecos (Reino de),0,0,0,0,0,0,0,126,0,0,0,0
42010001,2020,Exports valor,Reino Unido de la Gran Bretaña e Irlanda d,0,0,0,0,0,0,0,0,36,0,0,0
42010001,2020,Exports valor,Guatemala (República de),449,489,"13,064",0,"1,008","1,627",976,198,"1,274","5,678","2,113",0
42010001,2020,Exports valor,República Dominicana,0,91,0,0,0,0,63,0,0,7,138,0
42010001,2020,Exports valor,España (Reino de),0,0,0,0,0,0,330,0,0,25,0,0
42010001,2020,Exports valor,Colombia (República de),0,0,0,0,0,0,0,0,289,0,0,0
42010001,2020,Exports valor,Curazao,0,0,39,0,0,0,0,0,0,0,0,0
42010001,2020,Exports valor,"Argentina, República",0,0,0,0,0,0,"1,904",0,0,0,0,0
42010001,2020,Exports valor,Australia (Comunidad Australiana),0,0,"15,930",0,"10,790",0,"18,547",0,0,"15,475","6,165",0
42010001,2020,Exports valor,Bolivia (República de),0,0,0,569,0,0,0,0,0,0,0,0
42010001,2020,Exports valor,Barbados,0,0,0,0,0,29,0,0,19,0,0,0
