hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
18010001,2020,Exports valor,Total,"47,683","1,725","185,421","42,126","322,108","157,106","132,677","15,555","115,154","58,982","85,959","37,275"
18010001,2020,Exports valor,Países Bajos (Reino de Los),"14,339",0,0,0,0,"18,000",0,0,0,0,0,"22,934"
18010001,2020,Exports valor,Estados Unidos de América,"7,609",0,"5,991",0,"64,688","9,391","37,050","8,986","28,704","34,899","48,057","9,479"
18010001,2020,Exports valor,Japón,0,"1,563",0,0,0,"90,052",38,0,0,0,463,"4,481"
18010001,2020,Exports valor,Belice,0,0,0,0,0,0,0,0,0,0,0,239
18010001,2020,Exports valor,Francia,"24,755",0,0,"42,021","41,995","37,825",786,0,0,0,0,142
18010001,2020,Exports valor,Reino Unido de la Gran Bretaña e Irlanda d,0,0,0,0,"40,250",0,0,0,0,0,"34,500",0
18010001,2020,Exports valor,Guatemala (República de),0,0,0,0,0,0,0,"2,999",0,83,"2,499",0
18010001,2020,Exports valor,Italia,0,162,0,0,0,0,0,0,0,0,0,0
18010001,2020,Exports valor,Canadá,0,0,0,0,0,"1,838",0,0,0,0,0,0
18010001,2020,Exports valor,Costa Rica (República de),0,0,0,0,0,0,0,"3,570",0,0,0,0
18010001,2020,Exports valor,Suiza,0,0,"175,377",0,"175,175",0,"2,346",0,0,0,0,0
18010001,2020,Exports valor,Alemania (República Federal de),0,0,0,105,0,0,0,0,0,0,0,0
18010001,2020,Exports valor,España (Reino de),0,0,0,0,0,0,0,0,0,0,440,0
18010001,2020,Exports valor,Nueva Zelandia,0,0,0,0,0,0,"12,410",0,0,0,0,0
18010001,2020,Exports valor,Polonia (República Popular de),0,0,"4,053",0,0,0,0,0,0,0,0,0
18010001,2020,Exports valor,Emiratos  Arabes Unidos,980,0,0,0,0,0,0,0,0,0,0,0
18010001,2020,Exports valor,"Bélgica, (Reino de)",0,0,0,0,0,0,0,0,"86,450","24,000",0,0
18010001,2020,Exports valor,Vietnam (República Socialista de),0,0,0,0,0,0,"80,047",0,0,0,0,0
18010001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
18010001,2020,Exports volume,Total,"9,549",193,"52,529","6,330","81,593","36,122","17,845","1,844","19,836","7,261","14,491","6,571"
18010001,2020,Exports volume,Países Bajos (Reino de Los),"2,672",0,0,0,0,"1,800",0,0,0,0,0,"4,690"
18010001,2020,Exports volume,Estados Unidos de América,"1,034",0,"1,489",0,"18,303","2,906","2,357","1,292","2,546","5,254","8,166","1,543"
18010001,2020,Exports volume,Japón,0,150,0,0,0,"14,785",12,0,0,0,100,120
18010001,2020,Exports volume,Belice,0,0,0,0,0,0,0,0,0,0,0,197
18010001,2020,Exports volume,Francia,"5,563",0,0,"6,300","6,240","8,500",100,0,0,0,0,20
18010001,2020,Exports volume,Reino Unido de la Gran Bretaña e Irlanda d,0,0,0,0,"7,000",0,0,0,0,0,"6,000",0
18010001,2020,Exports volume,Guatemala (República de),0,0,0,0,0,0,0,252,0,7,210,0
18010001,2020,Exports volume,Italia,0,43,0,0,0,0,0,0,0,0,0,0
18010001,2020,Exports volume,Canadá,0,0,0,0,0,"8,131",0,0,0,0,0,0
18010001,2020,Exports volume,Costa Rica (República de),0,0,0,0,0,0,0,300,0,0,0,0
18010001,2020,Exports volume,Suiza,0,0,"50,060",0,"50,050",0,200,0,0,0,0,0
18010001,2020,Exports volume,Alemania (República Federal de),0,0,0,30,0,0,0,0,0,0,0,0
18010001,2020,Exports volume,España (Reino de),0,0,0,0,0,0,0,0,0,0,15,0
18010001,2020,Exports volume,Nueva Zelandia,0,0,0,0,0,0,"1,460",0,0,0,0,0
18010001,2020,Exports volume,Polonia (República Popular de),0,0,980,0,0,0,0,0,0,0,0,0
18010001,2020,Exports volume,Emiratos  Arabes Unidos,280,0,0,0,0,0,0,0,0,0,0,0
18010001,2020,Exports volume,"Bélgica, (Reino de)",0,0,0,0,0,0,0,0,"17,290","2,000",0,0
18010001,2020,Exports volume,Vietnam (República Socialista de),0,0,0,0,0,0,"13,715",0,0,0,0,0
18010001,2020,Exports volume,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
18010001,2020,Imports valor,Total,"10,523,533","9,630,931","7,835,081","11,564,963","6,752,315","11,470,555","9,722,574","9,001,341","9,697,155","4,103,981","1,709,498","4,623,835"
