hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
79011101,2020,Exports valor,Total,"28,489,461","14,070,389","21,919,533","20,030,944","19,867,687","30,010,077","25,197,579","21,042,210","26,504,407","25,907,596","22,228,662","21,733,948"
79011101,2020,Exports valor,Estados Unidos de América,"20,631,228","7,745,106","13,297,487","13,804,235","12,522,168","11,554,043","5,980,689","3,891,360","8,927,924","9,666,967","11,066,624","6,950,241"
79011101,2020,Exports valor,Brasil (República Federativa del),"5,808,786","4,010,997","4,600,906","1,807,193","987,155","2,564,893","972,454","4,450,856","9,414,666","5,888,979","4,823,942","6,772,652"
79011101,2020,Exports valor,Taiwan (Taipe chino),0,0,0,0,0,"1,263,528","3,042,273",0,0,0,"1,855,396","2,137,312"
79011101,2020,Exports valor,Alemania (República Federal de),"1,339,749","1,242,143","1,133,042","1,084,765","1,088,837","1,123,571",0,"1,325,013","1,360,351","1,314,312",0,"1,567,594"
79011101,2020,Exports valor,Tailandia (Reino de),"247,170","495,481","450,034",0,0,"2,994,832","415,087",0,0,0,0,"1,488,961"
79011101,2020,Exports valor,Japón,"189,012","227,302","1,618,603","1,023,519","204,111","464,885","952,474","509,206","1,858,670","1,087,018","266,492","1,425,769"
79011101,2020,Exports valor,"Argentina, República","62,105",0,0,0,0,"54,153",0,0,0,0,"65,282","795,737"
79011101,2020,Exports valor,El Salvador (República de ),0,0,0,0,"140,309",0,0,"179,282",0,"207,121",0,"209,473"
79011101,2020,Exports valor,Costa Rica (República de),"146,008",0,"446,742","120,596","131,300","289,014","131,039","429,268","192,398","236,017","65,334","181,021"
79011101,2020,Exports valor,"Bélgica, (Reino de)",0,"221,537",0,"188,108","100,148","104,190","111,203",0,"126,483",0,0,"136,695"
79011101,2020,Exports valor,Uruguay (República Oriental del),0,0,"59,544",0,0,0,"57,412",0,0,0,0,"68,493"
79011101,2020,Exports valor,Emiratos  Arabes Unidos,0,0,0,"385,756","2,494,637","2,788,157","529,202","219,395","1,215,982","10,294",0,0
79011101,2020,Exports valor,Malasia  (Federación de),0,0,0,0,0,"408,303","533,695","779,796",0,0,0,0
79011101,2020,Exports valor,Arabia Saudita (Reino de),0,0,0,0,0,"1,036,011","2,214,809","419,645","439,909",0,0,0
79011101,2020,Exports valor,Singapur (República de),0,0,0,0,0,"3,023,943",0,"7,645,034","1,755,976","3,712,317",0,0
