hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
78011001,2020,Exports valor,Total,"11,668,223","12,009,833","13,797,762","9,583,291","8,981,287","13,366,903","18,366,662","12,379,889","14,147,506","12,786,090","12,975,077","14,756,376"
78011001,2020,Exports valor,Estados Unidos de América,"9,782,552","11,169,983","12,628,425","9,328,665","7,438,633","9,605,380","6,589,549","8,768,922","8,488,825","7,641,600","10,061,069","11,432,266"
78011001,2020,Exports valor,Brasil (República Federativa del),"1,247,979","586,980","909,067",0,0,0,"1,672,302","190,633","1,782,647","1,215,360","174,607","2,245,808"
78011001,2020,Exports valor,Corea del Sur,0,0,0,0,"1,474,395","3,235,166","3,521,352","1,579,789","1,949,256","1,437,808","1,301,206","776,976"
78011001,2020,Exports valor,Singapur (República de),0,0,"238,392","254,626",0,0,"3,464,573","1,818,120","1,924,310","1,036,109",0,"300,200"
78011001,2020,Exports valor,España (Reino de),0,0,0,0,0,0,0,0,0,0,0,"1,126"
78011001,2020,Exports valor,Guatemala (República de),"13,352",0,"21,878",0,0,"28,528",0,"22,425","2,468","9,936",0,0
78011001,2020,Exports valor,Colombia (República de),0,0,0,0,0,"497,829","398,658",0,0,0,0,0
78011001,2020,Exports valor,Chile(República de ),0,0,0,0,"68,259",0,0,0,0,0,0,0
78011001,2020,Exports valor,Turquia (República de),"624,340","252,870",0,0,0,0,0,0,0,0,0,0
78011001,2020,Exports valor,Taiwan (Taipe chino),0,0,0,0,0,0,"2,720,228",0,0,"1,445,277","1,438,195",0
78011001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
78011001,2020,Exports volume,Total,"6,463,684","7,048,246","8,021,422","6,132,908","5,413,453","8,474,446","11,035,404","7,620,409","8,152,265","8,148,288","7,473,781","8,114,911"
78011001,2020,Exports volume,Estados Unidos de América,"5,514,551","6,600,774","7,395,340","5,983,128","4,483,148","6,216,467","4,360,694","5,682,431","5,217,518","5,424,823","5,948,810","6,374,327"
