hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
69010001,2020,Exports valor,Total,"1,550","35,362","29,811","8,171","16,761","34,781","51,572","36,141","33,837","34,422","41,898","40,699"
69010001,2020,Exports valor,Guatemala (República de),0,"17,522","18,666",0,0,"23,066","41,136",0,"24,288","5,520","30,963","23,235"
69010001,2020,Exports valor,Costa Rica (República de),0,0,0,0,0,"7,782",0,"4,638",0,"9,707",0,"5,617"
69010001,2020,Exports valor,Estados Unidos de América,"1,550","17,840","8,593","6,583","16,761","1,780","5,954","31,503","7,314","17,573","9,650","5,285"
69010001,2020,Exports valor,China (República Popular de),0,0,"1,606","1,588",0,"1,556","1,571",0,0,"1,622",0,"3,374"
69010001,2020,Exports valor,El Salvador (República de ),0,0,0,0,0,0,0,0,0,0,0,"3,188"
69010001,2020,Exports valor,Honduras (República de),0,0,0,0,0,0,0,0,88,0,0,0
69010001,2020,Exports valor,Panamá (República de),0,0,0,0,0,0,0,0,0,0,150,0
69010001,2020,Exports valor,Dinamarca (Reino de),0,0,946,0,0,597,0,0,"2,147",0,"1,135",0
69010001,2020,Exports valor,Belice,0,0,0,0,0,0,344,0,0,0,0,0
69010001,2020,Exports valor,Canadá,0,0,0,0,0,0,"2,567",0,0,0,0,0
