hs_code,year,name,País,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
35011001,2020,Exports valor,Total,992,496,0,0,0,0,0,529,496,496,0,0
35011001,2020,Exports valor,El Salvador (República de ),992,496,0,0,0,0,0,529,496,496,0,0
35011001,2020,Exports valor,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
35011001,2020,Exports volume,Total,400,200,0,0,0,0,0,225,200,200,0,0
35011001,2020,Exports volume,El Salvador (República de ),400,200,0,0,0,0,0,225,200,200,0,0
35011001,2020,Exports volume,"Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional.","Fuente: SE con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México 2003 - 2020 SNIEG. Información de Interés Nacional."
35011001,2020,Imports valor,Total,"11,932,114","7,953,222","12,898,701","11,925,902","12,921,152","16,515,786","13,122,355","12,796,905","10,634,225","10,139,822","7,703,697","10,914,966"
35011001,2020,Imports valor,Irlanda (República de),"9,137,918","2,324,503","3,408,773","2,177,516","6,705,024","9,083,843","8,198,190","5,662,291","5,302,286","7,496,823","4,621,245","6,285,205"
35011001,2020,Imports valor,Nueva Zelandia,"1,946,298","5,267,417","7,084,735","8,273,414","4,423,777","5,939,145","3,588,127","5,206,723","4,358,790","2,006,379","2,171,024","3,879,302"
35011001,2020,Imports valor,Alemania (República Federal de),"377,500","158,302","1,120,815","551,934","987,554","661,218","395,908","793,543","544,309","467,620","911,428","574,459"
35011001,2020,Imports valor,Países Bajos (Reino de Los),0,0,"179,300","182,820",0,0,0,0,0,0,0,"176,000"
35011001,2020,Imports valor,"Argentina, República","182,500","203,000","385,438","599,463",0,"830,000",0,"558,600",0,0,0,0
35011001,2020,Imports valor,Francia,"287,898",0,"719,640","140,000","581,263",0,"754,230","575,279","428,773",0,0,0
35011001,2020,Imports valor,India (República de la),0,0,0,755,0,0,0,0,0,0,0,0
35011001,2020,Imports valor,Polonia (República Popular de),0,0,0,0,"203,500",0,"185,900",0,0,"169,000",0,0
35011001,2020,Imports valor,Estados Unidos de América,0,0,0,0,"20,034","1,580",0,469,67,0,0,0
